txn_id,date,description,amount,reference
B001,2025-08-01,NEFT Rent Payment,25000.00,RENT-AUG25
B002,2025-08-05,UPI Vendor Sharma Textiles,9000.00,UPI-44120
B003,2025-08-03,NEFT Sales Receipt INV-2277,12500.00,NEFT-2277
B004,2025-08-05,POS Office Supplies Staples,1240.35,POS-9931
B005,2025-08-06,NEFT Electricity Board,3400.00,ELEC-0806
B006,2025-08-07,NEFT Sales Receipt INV-2280,7650.00,NEFT-2280
B007,2025-08-06,Bank Charge - Monthly Maintenance,150.00,FEE-0806
B008,2025-08-09,NEFT Sales Receipt INV-2285,15200.00,NEFT-2285
B009,2025-08-11,NEFT Telecom Payment,1800.00,TEL-0811
B010,2025-08-12,NEFT Sales Receipt INV-2291,18500.00,NEFT-2291
B011,2025-08-14,NEFT Sales Receipt INV-2293,9800.00,NEFT-2293
B012,2025-08-15,NEFT Vendor Raw Materials Co,22000.00,NEFT-0045
B013,2025-08-15,Interest Credit,220.00,INT-0815
B014,2025-08-16,NEFT Sales Receipt INV-2296,6400.00,NEFT-2296
B015,2025-08-17,NEFT Salary Part Time Staff,14000.00,SAL-0817
B016,2025-08-18,NEFT Sales Receipt INV-2299,11200.00,NEFT-2299
B017,2025-08-19,NEFT Courier and Shipping,850.00,SHIP-0819
B018,2025-08-20,NEFT Sales Receipt INV-2302,20500.00,NEFT-2302
B019,2025-08-21,NEFT Software Subscription Zoho,1999.00,SUB-0821
B020,2025-08-22,Card Annual Fee,499.00,FEE-0822
B021,2025-08-23,NEFT Sales Receipt INV-2308,8700.00,NEFT-2308
B022,2025-08-24,NEFT Equipment Repair Shop,3200.00,REP-0824
B023,2025-08-25,NEFT Sales Receipt INV-2311,13400.00,NEFT-2311
B024,2025-08-26,NEFT Vendor Packaging Supplies,4600.00,VEND-0051
