entry_id,date,description,amount,reference
L001,2025-08-01,Rent Payment - August,25000.00,RENT-AUG25
L002,2025-08-02,Vendor Pay - Sharma Textiles,9000.00,VEND-0032
L003,2025-08-03,Sales Invoice INV-2277,12500.00,INV-2277
L004,2025-08-05,Office Supplies - Staples,1240.00,PO-8891
L005,2025-08-06,Electricity Bill,3400.00,ELEC-0806
L006,2025-08-07,Sales Invoice INV-2280,7650.00,INV-2280
L007,2025-08-08,Vendor Pay - Sharma Textiles,9000.00,VEND-0032
L008,2025-08-09,Freelancer Payment - Design,5000.00,FRE-1102
L009,2025-08-10,Sales Invoice INV-2285,15200.00,INV-2285
L010,2025-08-11,Internet & Phone Bill,1800.00,TEL-0811
L011,2025-08-12,Sales Invoice INV-2291,18500.00,INV-2291
L012,2025-08-13,Petty Cash Withdrawal,2000.00,PC-0813
L013,2025-08-14,Sales Invoice INV-2293,9800.00,INV-2293
L014,2025-08-15,Vendor Pay - Raw Materials Co,22000.00,VEND-0045
L015,2025-08-16,Sales Invoice INV-2296,6400.00,INV-2296
L016,2025-08-17,Staff Salary - Part Time,14000.00,SAL-0817
L017,2025-08-18,Sales Invoice INV-2299,11200.00,INV-2299
L018,2025-08-19,Courier & Shipping,850.00,SHIP-0819
L019,2025-08-20,Sales Invoice INV-2302,20500.00,INV-2302
L020,2025-08-21,Software Subscription - Zoho,1999.00,SUB-0821
L021,2025-08-22,Consulting Fee - Q3 Advisory,42000.00,CONS-Q3
L022,2025-08-23,Sales Invoice INV-2308,8700.00,INV-2308
L023,2025-08-24,Equipment Repair,3200.00,REP-0824
L024,2025-08-25,Sales Invoice INV-2311,13400.00,INV-2311
L025,2025-08-26,Vendor Pay - Packaging Supplies,4600.00,VEND-0051
